ID1 ID2 HetHet IBS0 Kinship
1022660 2935450 0.043 0.0151 0.0488
1022683 1024883 0.056 0.0084 0.1429
1022683 4267435 0.046 0.015 0.0567
1022683 5500693 0.078 0.0043 0.2565
1022742 3339842 0.052 0.0109 0.1081
1022780 5481914 0.046 0.0147 0.0587
1022800 4254306 0.047 0.0141 0.0659
1022817 2536978 0.047 0.0142 0.0696
1022893 5316532 0.076 0.004 0.2551
1023012 2299318 0.067 0.0001 0.2469
1023012 2729620 0.067 0.0001 0.2481
1023012 4623146 0.047 0.0139 0.0722
1023064 1406993 0.045 0.0144 0.0613
1023086 1911912 0.045 0.0141 0.0619
1023098 5440374 0.044 0.0159 0.0442
1023324 3657625 0.048 0.0134 0.075
1023324 4404688 0.046 0.0145 0.0591
1023444 5757424 0.045 0.0151 0.0529
1023458 2029446 0.075 0.0044 0.2488
1023556 5989200 0.045 0.0137 0.0677
1023599 1707036 0.047 0.0142 0.0668
1023629 1155828 0.067 0.0001 0.2485
1023637 2250463 0.053 0.0089 0.1278
1023684 5175699 0.083 0.0034 0.2804
1023706 1373320 0.077 0.0045 0.2511
1023730 3786150 0.046 0.0144 0.0648
1023751 3935964 0.076 0.0044 0.25
1023823 4177184 0.073 0.0047 0.2366
1023857 3763382 0.08 0.0034 0.2695
1023879 2413810 0.046 0.0142 0.0609
1023903 1525446 0.048 0.0134 0.0774
1023934 4255690 0.079 0.0046 0.2594
1023952 5225897 0.046 0.0153 0.0565
1024001 3626104 0.052 0.0094 0.1209
1024166 5833023 0.045 0.0149 0.0556
1024179 5762881 0.075 0.0047 0.244
1024182 3612928 0.045 0.0143 0.0598
1024281 1233087 0.046 0.0143 0.0655
1024349 5632866 0.085 0.0041 0.2866
1024462 4656866 0.073 0.0053 0.2314
1024505 4538682 0.044 0.0155 0.0453
1024724 2294425 0.078 0.0058 0.2472
1024748 3900856 0.079 0.0043 0.2625
1024748 4353615 0.045 0.0147 0.0592
1024846 2456206 0.065 0.0045 0.249
1024860 2115269 0.045 0.0154 0.051
1024929 4154200 0.047 0.0141 0.0682
1024929 4227533 0.047 0.0135 0.0748
1024953 1431698 0.066 0.0001 0.247
1024984 2938828 0.072 0.0053 0.2271
1025000 1874434 0.045 0.0151 0.0505
1025017 3704361 0.045 0.0143 0.0602
1025036 4052098 0.073 0.0054 0.2339
1025061 5352187 0.046 0.0149 0.0581
1025213 4405216 0.075 0.0041 0.2505
1025225 4424979 0.046 0.0147 0.0629
1025242 1464065 0.047 0.0135 0.0652
1025429 5123070 0.053 0.0094 0.127
1025437 1806767 0.078 0.0047 0.2558
1025441 1615183 0.074 0.0046 0.2406
1025441 5702093 0.045 0.015 0.051
1025470 1487640 0.044 0.0136 0.0637
1025520 2989786 0.046 0.0138 0.0696
1025632 3901701 0.08 0.005 0.2564
1025658 3753547 0.045 0.0149 0.0513
1025803 2026089 0.047 0.0125 0.08
1025915 2596358 0.044 0.0152 0.0517
1026078 2170506 0.053 0.0096 0.1251
1026083 1171571 0.054 0.0102 0.1236
1026200 4892545 0.046 0.0144 0.0629
1026224 3736880 0.074 0.0059 0.233
1026408 5571335 0.045 0.0152 0.054
1026431 1887644 0.074 0.0053 0.2357
1026479 5440403 0.048 0.0134 0.0761
1026613 5180657 0.072 0.0058 0.2262
1026703 2445110 0.048 0.0134 0.072
1026703 3957876 0.069 0.0061 0.207
1026734 1630094 0.078 0.0043 0.2606
1026776 4950260 0.044 0.0151 0.0471
1026787 3305971 0.075 0.0056 0.2339
1026807 1053553 0.067 0.0001 0.2505
1027059 1915239 0.044 0.0158 0.0461
1027191 5589765 0.08 0.004 0.2686
1027253 2066387 0.066 0.0001 0.2434
1027253 6018856 0.045 0.0153 0.0539
1027295 3487911 0.073 0.0053 0.2273
1027309 4794343 0.077 0.005 0.2495
1027311 4195831 0.047 0.0122 0.085
1027322 4247014 0.044 0.0156 0.0457
1027397 5093619 0.053 0.0094 0.1286
1027438 1516939 0.048 0.0131 0.081
1027499 1667046 0.045 0.0147 0.0582
1027589 1473375 0.079 0.0041 0.2696
1027694 4331184 0.06 0.0034 0.2616
1027705 4553239 0.047 0.0131 0.0773
1027705 4728280 0.048 0.0137 0.073
1027739 2368211 0.053 0.009 0.1293
1027739 2999605 0.046 0.0141 0.0666
1027750 2072776 0.046 0.0145 0.061
1027750 5198185 0.047 0.0137 0.0734
1027827 5493186 0.045 0.0141 0.0621
1027865 1605643 0.044 0.0151 0.0471
1027958 4531035 0.084 0.0041 0.2812
1027975 1849332 0.078 0.0043 0.2611
1027981 4645435 0.045 0.0139 0.0609
1027990 5626250 0.067 0.0001 0.2515
1028028 1250827 0.044 0.0148 0.0523
1028034 3438415 0.044 0.0158 0.0448
1028034 4531198 0.045 0.0154 0.0462
1028034 4958643 0.046 0.0138 0.07
1028052 1159590 0.083 0.004 0.279
1028069 1780602 0.045 0.0143 0.0596
1028069 3589359 0.047 0.0133 0.0767
1028069 5490269 0.045 0.0147 0.0553
1028104 5927585 0.053 0.0092 0.1281
1028147 3907263 0.046 0.0143 0.0639
1028209 1814042 0.072 0.0048 0.2398
1028211 2676867 0.052 0.0095 0.1248
1028246 4886472 0.057 0.0079 0.1441
1028260 5362092 0.077 0.0048 0.2491
1028370 1971478 0.046 0.0141 0.0651
1028523 1707869 0.046 0.0154 0.0523
1028661 2013362 0.055 0.0083 0.1402
1028661 3116697 0.076 0.0042 0.2513
1028661 4709860 0.045 0.0142 0.0581
1028661 4870133 0.048 0.0138 0.0744
1028707 2000791 0.045 0.0153 0.0505
1028732 3843231 0.051 0.0106 0.1074
1028744 1813751 0.046 0.0143 0.0632
1028744 2359942 0.045 0.0154 0.0538
1028781 2792992 0.044 0.0157 0.0471
1028781 4246995 0.046 0.0134 0.0722
1028825 4166675 0.046 0.0151 0.0567
1028874 2929300 0.045 0.0149 0.0568
1028939 2895591 0.073 0.0046 0.2376
1028939 5886959 0.076 0.0049 0.2416
1029049 1288548 0.075 0.0056 0.2382
1029049 1292534 0.046 0.0144 0.0618
1029049 1728848 0.045 0.0143 0.0619
1029065 3004006 0.046 0.0141 0.0603
1029250 1559309 0.046 0.0148 0.0566
1029298 5656810 0.05 0.0126 0.0905
1029356 2943306 0.044 0.0141 0.0582
1029367 1878085 0.047 0.0136 0.0691
1029428 1155908 0.045 0.0157 0.0505
1029428 1770094 0.051 0.0104 0.1122
1029445 1629649 0.044 0.0153 0.0445
1029544 1620827 0.048 0.0137 0.0743
1029662 2856198 0.046 0.0142 0.0577
1029662 4974825 0.045 0.0146 0.0531
1029779 5025587 0.066 0.0001 0.2445
1029794 3358025 0.079 0.0046 0.2616
1029802 1438366 0.046 0.0142 0.0633
1029868 3301882 0.045 0.0154 0.0525
1029884 3686654 0.045 0.0149 0.0554
1029978 4067931 0.046 0.0145 0.0635
1030098 1620593 0.045 0.0132 0.0624
1030098 3260500 0.077 0.0047 0.2511
1030098 5078942 0.049 0.0127 0.0841
1030262 3767133 0.044 0.0155 0.0461
1030271 5303331 0.045 0.0044 0.2275
